,Vaccinated,Not vaccinated
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2.2026431718061676,7.8125
Neoplasms,1.1933174224343677,4.807692307692308
"Congenital malformations, deformations and chromosomal abnormalities",1.1389521640091116,5.319148936170213
Diseases of the ear and mastoid process,0.8865248226950354,4.385964912280701
"Endocrine, nutritional and metabolic diseases",0.8787346221441125,3.8167938931297707
Diseases of the nervous system,0.8680555555555555,3.289473684210526
Diseases of the eye and adnexa,0.8620689655172413,3.8461538461538463
Diseases of the circulatory system,0.7507507507507507,3.0864197530864197
Diseases of the digestive system,0.7374631268436578,3.048780487804878
Diseases of the genitourinary system,0.6793478260869565,2.7027027027027026
Diseases of the skin and subcutaneous tissue,0.6702412868632708,2.8089887640449436
Diseases of the respiratory system,0.6443298969072165,2.617801047120419
"Mental, Behavioral and Neurodevelopmental disorders",0.6345177664974618,2.5380710659898473
Certain infectious and parasitic diseases,0.6218905472636815,2.5906735751295336
Diseases of the musculoskeletal system and connective tissue,0.5727376861397481,2.4752475247524752
